# bank, entry_logical, entry_abs, CTA, block_logical, block_abs, count, colours, stage
bank=$38 entry=$4706 abs=$070706 CTA=$0120 block=$54B9 block_abs=$0714B9 count=$01 colours=16 stage=$00
bank=$38 entry=$4715 abs=$070715 CTA=$0150 block=$54DF block_abs=$0714DF count=$05 colours=48 stage=$00
bank=$38 entry=$470A abs=$07070A CTA=$0120 block=$546F block_abs=$07146F count=$05 colours=48 stage=$00
bank=$38 entry=$46FB abs=$0706FB CTA=$0100 block=$5449 block_abs=$071449 count=$01 colours=16 stage=$00
bank=$38 entry=$473B abs=$07073B CTA=$0000 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$473F abs=$07073F CTA=$0010 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$4743 abs=$070743 CTA=$0020 block=$6A69 block_abs=$072A69 count=$03 colours=32 stage=$00
bank=$38 entry=$4747 abs=$070747 CTA=$0040 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$474B abs=$07074B CTA=$0050 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$474F abs=$07074F CTA=$0060 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$4753 abs=$070753 CTA=$0070 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$475A abs=$07075A CTA=$0000 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$475E abs=$07075E CTA=$0010 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$4762 abs=$070762 CTA=$0020 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$4766 abs=$070766 CTA=$0030 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$476A abs=$07076A CTA=$0040 block=$6A8E block_abs=$072A8E count=$03 colours=32 stage=$00
bank=$38 entry=$476E abs=$07076E CTA=$0060 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$4772 abs=$070772 CTA=$0070 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$4779 abs=$070779 CTA=$0000 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$477D abs=$07077D CTA=$0010 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$4781 abs=$070781 CTA=$0020 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$4785 abs=$070785 CTA=$0030 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$4789 abs=$070789 CTA=$0040 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$478D abs=$07078D CTA=$0050 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$4791 abs=$070791 CTA=$0060 block=$6AB3 block_abs=$072AB3 count=$03 colours=32 stage=$00
bank=$38 entry=$4798 abs=$070798 CTA=$0000 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$479C abs=$07079C CTA=$0010 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$47A0 abs=$0707A0 CTA=$0020 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$47A4 abs=$0707A4 CTA=$0030 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$47A8 abs=$0707A8 CTA=$0040 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$47AC abs=$0707AC CTA=$0050 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$47B0 abs=$0707B0 CTA=$0060 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$47B4 abs=$0707B4 CTA=$0070 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$47C6 abs=$0707C6 CTA=$0090 block=$6AEB block_abs=$072AEB count=$01 colours=16 stage=$00
bank=$38 entry=$47CA abs=$0707CA CTA=$00A0 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$47D1 abs=$0707D1 CTA=$0090 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
bank=$38 entry=$47D5 abs=$0707D5 CTA=$00A0 block=$6B11 block_abs=$072B11 count=$01 colours=16 stage=$00
